,User,Tweet,Tweet Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweet Count
28,@BBC,"71 years after her death, the UK's forgotten astronomer Annie Maunder is finally getting some recognition. ☄🔭🌠

https://t.co/fjWUaZC4zQ",Sat Jul 14 07:04:02 +0000 2018,-0.7003,0.0,0.734,0.266,28
29,@BBC,"Gary Barlow and his ten-piece band perform songs including Greatest Day, Back for Good and Rule the World against t… https://t.co/xAcRAKlkmn",Fri Jul 13 20:32:04 +0000 2018,0.7964,0.272,0.728,0.0,29
30,@BBC,"The world's greatest classical musical festival is back! 🎶🎻👏 @bbcproms 2018

First Night of the Proms | 8:30pm |… https://t.co/JKCkC5EMMs",Fri Jul 13 18:31:05 +0000 2018,0.8268,0.312,0.688,0.0,30
31,@BBC,"RT @BBCSport: This is some semi-final.

Watch Kevin Anderson and John Isner live on @BBCTwo and online.

https://t.co/gmKgD0Vwbx https://t.…",Fri Jul 13 18:30:37 +0000 2018,0.0,0.0,1.0,0.0,31
32,@BBC,"When someone gets sassy but you've got a killer comeback... 😂👏 @robbrydon #WILTY

https://t.co/cmdBgsfTm1",Fri Jul 13 17:32:04 +0000 2018,-0.7876,0.0,0.669,0.331,32
33,@BBC,"The best time to plant a tree was 20 years ago. The second best time is now. 🌳

Eight Chinese proverbs to help with… https://t.co/zqSO489S8G",Fri Jul 13 17:02:05 +0000 2018,0.9022,0.357,0.643,0.0,33
34,@BBC,"When your colleagues ask why you need to leave work at 5pm on the dot... 🍷💃

#FridayFeeling #Versailles https://t.co/Tmba34H72w",Fri Jul 13 15:59:00 +0000 2018,-0.0516,0.0,0.938,0.062,34
35,@BBC,RT @BBCNews: Downton Abbey film finally confirmed https://t.co/VcQvk7lFJb,Fri Jul 13 15:47:44 +0000 2018,0.0,0.0,1.0,0.0,35
36,@BBC,"""I can't pay you, but you can use the photos in your portfolio."" 🙄  

Every photographer can relate to this. 

https://t.co/AIriphAyym",Fri Jul 13 15:04:04 +0000 2018,0.0382,0.057,0.943,0.0,36
37,@BBC,"The secret to a long, happy relationship? 

Lying, lying and more lying. ❤️️😂 @rhysnicholson

https://t.co/K0t1XAHovC",Fri Jul 13 12:03:03 +0000 2018,-0.7579,0.155,0.418,0.427,37
38,@BBC,"The original 1926 map of The Hundred Acre Wood from Winnie-the-Pooh has sold for a record £430,000. 📖🍯… https://t.co/YoDZxpIlLe",Fri Jul 13 11:03:03 +0000 2018,0.3182,0.119,0.881,0.0,38
39,@BBC,RT @bbcproms: A Spectacular curtain raiser last night by @AnnaHMeredith &amp; @59productions  commissioned by @bbcproms @edintfest @1418NOW  in…,Fri Jul 13 10:01:02 +0000 2018,0.0,0.0,1.0,0.0,39
40,@BBC,RT @BBCTheOneShow: It's @ChrisGPackham UK Bioblitz 2018. Over ten days Chris &amp; his team will visit 50 wildlife sites in the UK to highlight…,Fri Jul 13 09:59:32 +0000 2018,0.0,0.0,1.0,0.0,40
41,@BBC,"Who is the mysterious Hester Appleyard?

Natalie Dormer spills the beans on her enigmatic role in… https://t.co/6oHcD9SONr",Fri Jul 13 08:03:04 +0000 2018,0.0,0.0,1.0,0.0,41
42,@BBC,"""I think the NHS is one of the biggest assets we have in this country,"" says @JonniePeacock.… https://t.co/PTiCP0xeHc",Fri Jul 13 07:27:05 +0000 2018,0.1779,0.091,0.909,0.0,42
43,@BBC,"⚠️ Watch out! ⚠️ Today is Friday the 13th...

📆😰 But why is this date considered unlucky?

https://t.co/RJelR8Rw6p",Fri Jul 13 07:03:02 +0000 2018,0.0,0.0,1.0,0.0,43
44,@BBC,"😺🎬 Meet Lisio, the ginger cat who jumped onto his owner's shoulders during a serious TV interview.

👉… https://t.co/7DmhNcHnU6",Thu Jul 12 20:02:02 +0000 2018,-0.0772,0.0,0.929,0.071,44
